FamilyName,FirstName
DOLING, Mrs Ada Julia Elizabeth
DOLING, Miss Elsie
DORE, Mr Albert James
DORKINGS, Mr Edward Arthur
DOUGLAS, Mrs Mahala
DOUGLAS, Mrs Mary Hélène
DOWDELL, Miss Elizabeth
DREW, Mrs Maria Louisa Thorne
DREW, Master Marshall Brines
DRISCOLL, Miss Bridget
DROPKIN, Miss Jennie
DUFF GORDON, Sir Cosmo Edmund
DUFF GORDON," Lucy Christiana, Lady"
DUQUEMIN, Mr Joseph Pierre
DURÁN I MONÉ, Miss Florentina
DURÁN I MONÉ, Miss Asuncion
DYKER, Mrs Anna Elisabeth Judith
DYMOND, Mr Frank
EARNSHAW, Mrs Olive
ELLIS, Mr John Bertie
EMANUEL, Miss Virginia Ethel
ENDRES, Miss Caroline Louise
ETCHES, Mr Henry Samuel
EUSTIS, Miss Elizabeth Mussey
EVANS, Mr Alfred Frank
EVANS, Mr Frank Oliver
FAULKNER, Mr William Stephen
FINOLI, Mr Luigi
FITZPATRICK, Mr Cecil William
FLAHERTY, Mr Edward
FLEET, Mr Frederick
FLEGENHEIM, Mrs Antoinette
FLEMING, Miss Margaret
FLYNN, Mr John Irwin
FOLEY, Mr John
FOLEY, Mr Wilfred Cyril
FOO, Mr Choong
FORTUNE, Mrs Mary
FORTUNE, Miss Ethel Flora
FORTUNE, Miss Alice Elizabeth
FORTUNE, Miss Mabel Helen
FORWARD, Mr James
FRANCATELLI, Miss Laura Mabel
FRAUENTHAL, Mr Isaac Gerry
FRAUENTHAL, Dr Henry William
FRAUENTHAL, Mrs Clara
FREDERICKS, Mr Walter Francis
FRÖLICHER, Miss Hedwig Margaritha
FRÖLICHER-STEHLI, Mr Maximilian Josef
FRÖLICHER-STEHLI, Mrs Margaretha Emerentia
FRYER, Mr Albert Ernest
FUTRELLE, Mrs Lily May
GARSIDE, Miss Ethel
GIBBONS, Mr Jacob William
GIBSON, Mrs Pauline Caroline
GIBSON, Miss Dorothy Winifred
GIEGER, Miss Amalie Henriette
GILNAGH, Miss Kate
GLYNN, Miss Mary Agatha
GODLEY, Mr George Auguste
GOLD, Mrs Jane Kate Coulson
GOLDENBERG, Mr Samuel Levi
GOLDENBERG, Mrs Nella Carlynne
GOLDSMITH, Mrs Emily Alice
GOLDSMITH, Master Frank John William
GRACIE, Colonel Archibald
GRAHAM, Mrs Edith
GRAHAM, Miss Margaret Edith
GRAHAM, Mr Thomas Gibson
GREENFIELD, Mrs Blanche
GREENFIELD, Mr William Bertram
GREGSON, Miss Mary Josephine
GUY, Mr Elgar John
HAGGAN, Mr John
HAINES, Mr Albert
HAKKARAINEN, Mrs Elin Matilda
HALFORD, Mr Richard
HÄMÄLÄINEN, Mrs Anna Lydia Amanda
HÄMÄLÄINEN, Master Viljo Unto Johannes
ḤANNĀ, Mr Mubārik Sulaymān Abī Āsī
HANSEN, Mrs Jennie Louise
HARDER, Mr George Achilles
HARDER, Mrs Dorothy
HARDER, Mr William
HARDWICK, Mr Reginald
HARDY, Mr John
HARPER, Mr Henry Sleeper
HARPER, Mrs Myra Raymond
HARPER, Miss Annie Jessie
HARRIS, Mrs Irene
HARRIS, Mr George
HARRIS, Mr Fred
HARRISON, Mr Aragõa Drummond
HART, Mrs Emily Esther Louisa
HART, Miss Eva Miriam
HART, Mr John Edward
HARTNELL, Mr Fred
HASSAB, Mr Hammad
HAWKSFORD, Mr Walter James
HAYS, Mrs Clara Jennings
HAYS, Miss Margaret Bechstein
HEALY, Miss Honor
HEBB, Mr William Albert Thomas
HEDMAN, Mr Oskar Arvid
HEE, Mr Ling
HEIKKINEN, Miss Laina Maria
HELLSTRÖM, Miss Hilda Maria
HEMMING, Mr Samuel Ernest
HENDRICKSON, Mr Charles Osker
HERMAN, Mrs Jane
HERMAN, Miss Alice
HERMAN, Miss Kate
HEWLETT, Mrs Mary Dunbar
HICHENS, Mr Robert
HIPPACH, Mrs Ida Sophia
HIPPACH, Miss Gertrude Isabelle
HIRVONEN, Mrs Helga Elisabeth Lindqvist
HIRVONEN, Miss Hildur Elisabeth
HOCKING, Mrs Eliza
HOCKING, Miss Ellen
HOGEBOOM, Mrs Anna Louisa
HOGG, Mr George Alfred
HOLD, Mrs Annie Margaret
HOLVERSON, Mrs Mary Alice
HOMER, Mr Harry Haven
HONKANEN, Miss Eliina
HOPKINS, Mr Robert John
HORSWILL, Mr Albert Edward James
HOSONO, Mr Masabumi
HOWARD, Miss May Elizabeth
HOYT, Mr Frederick Maxfield
HOYT, Mrs Jane Anne
HUMPHREYS, Mr Sidney
HUNT, Mr Albert Sylvanus
HURST, Mr Walter
HYLAND, Mr Leo James
HYMAN, Mr Joseph Abraham
IBRĀHĪM, Mrs Sāfiyah
ICARD, Miss Rose Amélie
ILETT, Miss Bertha
ISMAY, Mr Joseph Bruce
JACOBSOHN, Mrs Amy Frances
JALŠEVAC, Mr Ivan
JANSSON, Mr Carl Olof
JERMYN, Miss Annie Jane
JERWAN, Mrs Marie Marthe
JESSOP, Miss Violet Constance
JEWELL, Mr Archie
JOHANNESEN, Mr Bernt Johannes
JOHANSSON, Mr Oscar Wilhelm
JOHNSON, Mrs Aliina Vilhelmina
JOHNSON, Master Harold Theodor
JOHNSON, Miss Eleanor Ileen
JOHNSTONE, Mr James
JONES, Mr Thomas William
JONSSON, Mr Karl
JOUGHIN, Mr Charles John
JUDD, Mr Charles Edward
JUSSILA, Mr Eiriik
KANTOR, Mrs Miriam
KARLSSON, Mr Einar Gervasius
KARUN, Mr Franz
KARUN, Miss Manca
KASPER, Mr F.
KEANE, Miss Nora Agnes
