FamilyName,FirstName
BROOME, Mr Athol Frederick
BROWN, Mr Joseph
BROWN, Mr Thomas William Solomon
BROWN, Mr John
BROWN, Mr Walter James
BRYHL, Mr Kurt Arnold Gottfrid
BUCKLEY, Miss Catherine
BUCKLEY, Mr H. E.
BULL, Mr Walter Edward
BULLEY, Mr Henry Ashburnham
BŪLUS, Mrs Sultānah
BŪLUS, Miss Nūr al-'ayn
BŪLUS, Master Akar
BUNNELL, Mr Wilfred James
BURKE, Mr Jeremiah
BURKE, Mr Richard Edward
BURNS, Miss Mary Delia
BURR, Mr Ewart Sydenham
BURROUGHS, Mr Arthur Peckham
BURTON, Mr Edward John
BUTLER, Mr Reginald Fenton
BUTRUS-KA'WĪ, Mr Tannūs
BUTT, Major Archibald Willingham
BUTT, Mr William John
BUTT, Mr Robert Henry
BUTTERWORTH, Mr Jack
BYLES, Fr Thomas Roussel Davids
BYRNE, Mr James Edward
ČAČIĆ, Mr Jego Grga
ČAČIĆ, Mr Luka
ČAČIĆ, Miss Marija
ČAČIĆ, Miss Manda
CAIRNS, Mr Alexander Milne
CALDERWOOD, Mr Hugh
ČALIĆ, Mr Petar
ČALIĆ, Mr Jovo
CAMPBELL, Mr William
CAMPBELL, Mr Donald Samuel
CANAVAN, Miss Mary
CANAVAN, Mr Patrick
CANN, Mr Ernest
CANNER, Mr John
CARAM, Mr Joseph
CARAM, Mrs Maria Elias
CARBINES, Mr William
CARLSSON, Mr Frans Olof
CARLSSON, Mr Carl Robert
CARLSSON, Mr August Sigfrid
CARNEY, Mr William John
CARR, Miss Jane
CARR, Mr Richard Stephen
CARRAU, Mr Francisco Mauro Severiano
CARRAÚ-ESTEVES, Mr José Pedro
CARTER, Rev. Ernest Courtenay
CARTER, Mrs Lilian
CARTER, Mr James
CARTWRIGHT, Mr James Edward
CARVER, Mr Alfred John
CASALI, Mr Giulio
CASE, Mr Howard Brown
CASEY, Mr Thomas
CASSWILL, Mr Charles
CASTLEMAN, Mr Edward
CAUNT, Mr William Ewart
CAVE, Mr Herbert
CAVENDISH, Mr Tyrell William
CECIL, Mr Charles Thomas
CELOTTI, Mr Francesco
CHABOISSON, Mr Adrien Firmin
CHAFFEE, Mr Herbert Fuller
CHAPMAN, Mr Charles Henry
CHAPMAN, Mr John Henry
CHAPMAN, Mrs Sarah Elizabeth
CHARMAN, Mr John James
CHARTERS, Mr David
CHERRETT, Mr William Victor
CHEVERTON, Mr William Frederick
CHISHOLM, Mr Roderick
CHISNALL, Mr George Alexander
CHITTY, Mr Archibald George
CHITTY, Mr George Henry
CHORLEY, Mr John Henry
CHRISTMANN, Mr Emil
CHRISTMAS, Mr Herbert Harry
CHRONOPOULOS, Mr Apostolos M.
CHRONOPOULOS, Mr Dimitrios M.
CLARK, Mr Walter Miller
CLARKE, Mr John Frederick Preston
CLARKE, Mr Charles Valentine
CLENCH, Mr George James
CLIFFORD, Mr George Quincy
COE, Mr Harry
COELHO, Mr Domingos Fernandeo
COLBERT, Mr Patrick
COLEMAN, Mr John
COLEMAN, Mr Albert Edward
COLERIDGE, Mr Reginald Charles
COLLANDER, Mr Erik Gustaf
COLLEY, Mr Edward Pomeroy
COLLYER, Mr Harvey
COMPTON, Mr Alexander Taylor jr
CONLIN, Mr Thomas Henry
CONNAUGHTON, Mr Michael
CONNOLLY, Miss Kate
CONNORS, Mr Patrick
CONWAY, Mr Percy Walter
COOK, Mr Jacob
COOK, Mr Gilbert William
COOMBS, Mr Charles Augustus
COOPER, Mr Henry William
COOPER, Mr Frederick George
COPPERTHWAITE, Mr Albert Harry
ČOR, Mr Bartol
ČOR, Mr Ivan
ČOR, Mr Liudevit
CORBEN, Mr Ernest Theodore
CORBETT, Mrs Irene
CORCORAN, Mr Dennis
COREY, Mrs Mary Emma
CORNAIRE, Mr Marcel Raymond André
CORNBLATT, Mr Harris
COTTERILL, Mr Henry
COTTON, Mr Alfred
COUCH, Mr Frank
COUCH, Mr Joseph Henry
COUTIN, Mr Auguste Louis
COX, Mr William Denton
COXON, Mr Daniel
COY, Mr Francis Ernest George
CRABB, Mr Henry James
CRAFTON, Mr John Bertram
CREASE, Mr Ernest James
CREESE, Mr Henry Philip
CRIBB, Mr John Hatfield
CRISP, Mr Albert Hector
CRISPIN, Mr William
CROSBIE, Mr John Borthwick
CROSBY, Captain Edward Gifford
CROSS, Mr William Alfred
CROVELLA, Mr Paolo Luigi
CRUMPLIN, Mr Charles George Chandler
ČULUMOVIĆ, Mr Jeso
CUMINGS, Mr John Bradley
CUNNINGHAM, Mr Alfred Fleming
CUNNINGHAM, Mr Bernard
CURTIS, Mr Arthur
DĀHIR, Mr Ṭannūs
DAHLBERG, Miss Gerda Ulrika
DAKIĆ, Mr Branko
DANBOM, Mr Ernst Gilbert
DANBOM, Mrs Anna Sigrid Maria
DANBOM, Master Gilbert Sigvard Emanuel
DASHWOOD, Mr William George
DAVIDSON, Mr Thornton
DAVIES, Mr Charles Henry
DAVIES, Mr Evan Lewis
DAVIES, Mr Alfred James
DAVIES, Mr John
DAVIES, Mr Joseph
DAVIES, Mr Thomas
DAVIES, Mr Gordon Raleigh
DAVIES, Mr Robert J.
DAVIS, Mr Stephen James
DAVIS, Mr John
DAVISON, Mr Thomas Henry
DAWSON, Mr Joseph
DE MARSICO, Sig. Govanni
DE PELSMAEKER, Mr Alfons
DEACON, Mr Percy William
DEAN, Mr Bertram Frank
DEAN, Mr George Fox Hopkins
DEBREUCQ, Mr Maurice Emile Victor
DEEBLE, Mr Alfred Arnold
DEL CARLO, Mr Sebastiano
DELALIĆ, Mr Redžo
DENBUOY, Mr Albert Joseph
DENKOV, Mr Mityu
DENNIS, Mr Samuel
DENNIS, Mr William
DENOV, Mr Yoto
DERRETT, Mr Arthur Henry
DESLANDES, Mr Percival Stainer
DESVERNINE, Mr Louis Gabriel
DIBDEN, Mr William
DĪBŪ, Mr Ilyās
DICKSON, Mr William
DIKA, Mr Mirko
DIMIĆ, Mr Jovan
DINCHEV, Mr Vulcho
DINENAGE, Mr James Richard
DODD, Mr Edward Charles
